Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,Corrode,ENVY,7,4,0,0,12,0,1,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Split,Sentinels,5,0,0,0,9,1,2,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Split,FURIA,9,1,2,1,5,0,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Breeze,Sentinels,6,3,2,0,5,4,2,2
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Breeze,FURIA,5,4,2,2,6,3,2,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Bind,G2 Esports,8,2,2,1,6,2,3,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Bind,100 Thieves,6,2,3,0,8,2,2,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Corrode,G2 Esports,2,1,0,0,11,0,1,1
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Corrode,100 Thieves,11,0,1,1,2,1,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Split,G2 Esports,11,0,2,0,8,0,0,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,Split,100 Thieves,8,0,0,0,11,0,2,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Breeze,LOUD,10,0,3,0,5,2,4,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Breeze,100 Thieves,5,2,4,0,10,0,3,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Bind,LOUD,3,1,2,0,7,1,3,2
