Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,BBL Esports,Eco (won),3,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,BBL Esports,$ (won),2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,BBL Esports,$$ (won),5,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,BBL Esports,$$$ (won),8,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,G2 Esports,Pistol Won,,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,G2 Esports,Eco (won),2,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,G2 Esports,$ (won),3,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,G2 Esports,$$ (won),6,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,G2 Esports,$$$ (won),10,7
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,BBL Esports,Pistol Won,,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,BBL Esports,Eco (won),4,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,BBL Esports,$ (won),0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,BBL Esports,$$ (won),4,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,BBL Esports,$$$ (won),13,7
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,G2 Esports,Pistol Won,,4
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,G2 Esports,Eco (won),5,4
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,G2 Esports,$ (won),4,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,G2 Esports,$$ (won),9,5
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,G2 Esports,$$$ (won),21,16
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,BBL Esports,Pistol Won,,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,BBL Esports,Eco (won),7,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,BBL Esports,$ (won),2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,BBL Esports,$$ (won),9,4
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,All Maps,BBL Esports,$$$ (won),21,9
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,Paper Rex,Pistol Won,,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,Paper Rex,Eco (won),3,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,Paper Rex,$ (won),0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,Paper Rex,$$ (won),7,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,Paper Rex,$$$ (won),13,6
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,All Gamers,Pistol Won,,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,All Gamers,Eco (won),3,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,All Gamers,$ (won),1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,All Gamers,$$ (won),6,4
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,All Gamers,$$$ (won),13,7
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,Paper Rex,Pistol Won,,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,Paper Rex,Eco (won),2,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,Paper Rex,$ (won),2,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,Paper Rex,$$ (won),4,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,Paper Rex,$$$ (won),12,7
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,All Gamers,Pistol Won,,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,All Gamers,Eco (won),4,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,All Gamers,$ (won),2,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,All Gamers,$$ (won),4,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,All Gamers,$$$ (won),10,4
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,Paper Rex,Pistol Won,,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,Paper Rex,Eco (won),4,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,Paper Rex,$ (won),0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,Paper Rex,$$ (won),0,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,Paper Rex,$$$ (won),13,12
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,All Gamers,Pistol Won,,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,All Gamers,Eco (won),2,2
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,All Gamers,$ (won),3,0
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,All Gamers,$$ (won),6,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,All Gamers,$$$ (won),6,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,Paper Rex,Pistol Won,,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,Paper Rex,Eco (won),9,4
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,Paper Rex,$ (won),2,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,Paper Rex,$$ (won),11,6
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,Paper Rex,$$$ (won),38,25
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,All Gamers,Pistol Won,,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,All Gamers,Eco (won),9,3
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,All Gamers,$ (won),6,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,All Gamers,$$ (won),16,8
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,All Maps,All Gamers,$$$ (won),29,12
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Nongshim RedForce,Pistol Won,,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Nongshim RedForce,Eco (won),2,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Nongshim RedForce,$ (won),3,0
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Nongshim RedForce,$$ (won),4,4
