Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Masters Santiago 2026,Playoffs,Upper Final,Bind,Nongshim RedForce,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Bind,Mega Minors,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Bind,Mega Minors,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Bind,Mega Minors,brimstone,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Bind,Mega Minors,fade,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Bind,Mega Minors,raze,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Nongshim RedForce,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Nongshim RedForce,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Nongshim RedForce,waylay,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Nongshim RedForce,sova,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Nongshim RedForce,cypher,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Mega Minors,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Mega Minors,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Mega Minors,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Mega Minors,sova,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,Mega Minors,tejo,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Nongshim RedForce,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Nongshim RedForce,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Nongshim RedForce,viper,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Nongshim RedForce,fade,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Nongshim RedForce,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Paper Rex,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Paper Rex,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Paper Rex,fade,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Paper Rex,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,Paper Rex,vyse,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Nongshim RedForce,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Nongshim RedForce,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Nongshim RedForce,viper,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Nongshim RedForce,fade,1,0,1
